iter	MultiClass
0	0.9943674538
1	0.9149560873
2	0.8505550425
3	0.7981878332
4	0.7543524949
5	0.7178007635
6	0.6873814825
7	0.661402924
8	0.6396119751
9	0.6197941206
10	0.6022378354
11	0.5879143955
12	0.5749276614
13	0.5626302534
14	0.553227769
15	0.5439922334
16	0.536260695
17	0.5291531857
18	0.5231227774
19	0.5170991072
20	0.5120454517
21	0.5070152537
22	0.5027828493
23	0.499091826
24	0.4959215541
25	0.4928389594
26	0.4896802284
27	0.486964625
28	0.4849484199
29	0.4826172665
30	0.4807394608
31	0.4789426717
32	0.4774125962
33	0.4758013739
34	0.4739423063
35	0.4724535527
36	0.4712456045
37	0.4702336134
38	0.4692503685
39	0.4679400119
40	0.4669079054
41	0.4659702848
42	0.4650498948
43	0.4641698578
44	0.4632587731
45	0.462672981
46	0.461998809
47	0.4610813542
48	0.460540404
49	0.4600595458
50	0.4597607655
51	0.4591937648
52	0.4584607315
53	0.458078553
54	0.4573739894
55	0.4567195268
56	0.4562203032
57	0.4557510411
58	0.4554459594
59	0.4549833907
60	0.4543505679
61	0.4539649609
62	0.4534112304
63	0.4528823892
64	0.4525407306
65	0.4523303827
66	0.4518346285
67	0.4516389741
68	0.4513646889
69	0.4510503136
70	0.4507437204
71	0.4503982055
72	0.4501171308
73	0.4496402174
74	0.4494230215
75	0.4491681364
76	0.448910822
77	0.4487606757
78	0.4483757782
79	0.4481849316
80	0.448029436
81	0.4477867417
82	0.447482666
83	0.4472360593
84	0.4469710984
85	0.4468949843
86	0.4465374406
87	0.4462346219
88	0.4460335693
89	0.44571785
90	0.4454647364
91	0.4452845273
92	0.4451216173
93	0.4449231834
94	0.4445699865
95	0.4442669509
96	0.4441372527
97	0.4438986559
98	0.4436179753
99	0.4434452067
100	0.4432410828
101	0.4430348355
102	0.4426946946
103	0.4425435341
104	0.4421925102
105	0.4419810104
106	0.4418174934
107	0.4416439327
108	0.441425718
109	0.441155586
110	0.4409698779
111	0.4407244287
112	0.4406048319
113	0.4404434284
114	0.4401888028
115	0.4400358968
116	0.4398615719
117	0.4396246373
118	0.4394102148
119	0.4391810845
120	0.4390248472
121	0.4389326392
122	0.4388030407
123	0.438499154
124	0.4383329121
125	0.4382253463
126	0.4380096665
127	0.437789565
128	0.4375522452
129	0.4372971253
130	0.4371479753
131	0.4369909041
132	0.4368211424
133	0.4364964862
134	0.4362883974
135	0.4361062099
136	0.4358741618
137	0.435702071
138	0.4354983152
139	0.4353787207
140	0.4352394114
141	0.4351089514
142	0.4348505757
143	0.434651054
144	0.4344987153
145	0.4343312078
146	0.4341997355
147	0.4340683847
148	0.4339540111
149	0.4339090196
150	0.4338134584
151	0.4336354564
152	0.4335108327
153	0.4333089943
154	0.4331875181
155	0.4329936769
156	0.4328666705
157	0.4326673463
158	0.4323933782
159	0.4322494833
160	0.4321664934
161	0.4321036002
162	0.4319486105
163	0.4317654069
164	0.4315537749
165	0.431464485
166	0.4312360896
167	0.4310534428
168	0.4309375687
169	0.4308377501
170	0.4306934798
171	0.4305597134
172	0.4303901685
173	0.4302447227
174	0.4301227998
175	0.4299434029
176	0.4297894296
177	0.4296929648
178	0.4295804476
179	0.4294469887
180	0.4293914819
181	0.4292684037
