iter	Passed	Remaining
0	16	16545
1	26	13241
2	36	12095
3	53	13351
4	64	12887
5	76	12623
6	86	12322
7	96	11991
8	106	11770
9	117	11595
10	126	11416
11	136	11248
12	146	11150
13	156	11047
14	167	11011
15	177	10918
16	187	10826
17	196	10734
18	207	10694
19	217	10651
20	226	10575
21	236	10495
22	245	10436
23	255	10384
24	269	10514
25	316	11839
26	336	12124
27	364	12645
28	410	13736
29	447	14479
30	473	14811
31	491	14873
32	527	15454
33	546	15520
34	565	15588
35	584	15648
36	613	15977
37	632	16009
38	648	15986
39	667	16025
40	682	15952
41	699	15958
42	716	15947
43	731	15883
44	750	15936
45	766	15888
46	782	15865
47	794	15755
48	803	15600
49	813	15460
50	822	15306
51	831	15158
52	841	15027
53	849	14873
54	857	14738
55	866	14609
56	875	14486
57	884	14372
58	892	14241
59	902	14135
60	911	14026
61	920	13924
62	929	13819
63	938	13726
64	947	13629
65	955	13521
66	964	13432
67	973	13337
68	981	13240
69	989	13149
70	998	13063
71	1007	12982
72	1015	12900
73	1025	12836
74	1034	12759
75	1043	12689
76	1051	12608
77	1059	12529
78	1069	12463
79	1077	12388
80	1085	12321
81	1094	12257
82	1104	12201
83	1119	12206
84	1139	12267
85	1179	12533
86	1230	12915
87	1295	13426
88	1337	13687
89	1390	14059
90	1423	14214
91	1461	14420
92	1485	14483
93	1536	14812
94	1576	15021
95	1622	15276
96	1647	15341
97	1676	15431
98	1714	15604
99	1773	15965
100	1791	15948
101	1808	15921
102	1830	15942
103	1844	15894
104	1874	15977
105	1893	15968
106	1908	15931
107	1924	15892
108	1944	15891
109	1967	15921
110	2001	16028
111	2019	16013
112	2037	15989
113	2052	15953
114	2070	15931
115	2087	15911
116	2102	15866
117	2119	15843
118	2134	15798
119	2154	15800
120	2175	15801
121	2192	15777
122	2206	15733
123	2228	15744
124	2246	15727
125	2278	15803
126	2298	15801
127	2312	15753
128	2328	15718
129	2343	15683
130	2360	15661
131	2379	15645
132	2394	15607
133	2419	15638
134	2433	15591
135	2446	15544
136	2462	15510
137	2475	15462
138	2496	15464
139	2508	15412
140	2519	15349
141	2540	15347
142	2565	15374
143	2589	15390
144	2623	15470
145	2670	15623
146	2689	15603
147	2705	15575
148	2719	15532
149	2732	15483
150	2753	15483
151	2772	15466
152	2791	15452
153	2813	15454
154	2835	15460
155	2854	15440
156	2871	15420
157	2894	15423
158	2914	15413
159	2939	15431
160	2953	15392
161	2966	15345
162	2989	15349
163	3002	15303
164	3016	15267
165	3035	15250
166	3055	15243
167	3078	15247
168	3101	15252
169	3122	15244
170	3139	15222
171	3155	15188
172	3172	15165
173	3186	15126
174	3203	15102
175	3219	15073
176	3239	15061
177	3254	15028
178	3275	15021
179	3290	14991
180	3303	14948
181	3317	14911
182	3332	14879
183	3347	14845
184	3359	14800
185	3375	14773
186	3391	14746
187	3406	14714
188	3423	14690
189	3436	14648
190	3458	14648
191	3471	14610
192	3481	14558
193	3492	14509
194	3501	14454
195	3510	14398
196	3518	14340
197	3527	14288
198	3535	14232
199	3544	14179
200	3553	14126
201	3562	14073
202	3570	14019
203	3579	13968
204	3588	13917
205	3597	13867
206	3606	13818
207	3615	13765
208	3624	13716
209	3634	13671
210	3642	13620
211	3651	13570
212	3661	13527
213	3672	13489
214	3681	13441
215	3690	13396
216	3699	13350
217	3708	13301
218	3716	13252
219	3724	13203
220	3732	13157
221	3741	13113
222	3749	13063
223	3758	13022
224	3768	12979
225	3777	12935
226	3785	12892
227	3795	12851
228	3804	12809
229	3813	12768
230	3821	12722
231	3831	12682
232	3839	12639
233	3849	12599
234	3857	12558
235	3867	12519
236	3876	12481
237	3886	12442
238	3895	12402
239	3903	12362
240	3912	12322
241	3920	12280
242	3930	12243
243	3938	12203
244	3948	12167
245	3957	12128
246	3966	12091
247	3974	12052
248	3983	12013
249	3991	11973
250	3999	11935
251	4009	11900
252	4018	11865
253	4029	11833
254	4036	11793
255	4045	11756
256	4053	11720
257	4062	11684
258	4070	11645
259	4078	11608
260	4086	11569
261	4094	11532
262	4102	11497
263	4110	11460
264	4118	11421
265	4125	11384
266	4134	11349
267	4143	11317
268	4152	11284
269	4161	11250
270	4169	11215
271	4177	11181
272	4185	11146
273	4193	11112
274	4202	11078
275	4211	11046
276	4220	11015
277	4229	10984
278	4237	10950
279	4245	10917
280	4255	10887
281	4262	10853
282	4271	10821
283	4279	10789
284	4287	10757
285	4296	10726
286	4306	10697
287	4314	10667
288	4323	10637
289	4331	10604
290	4340	10574
291	4348	10544
292	4357	10514
293	4366	10486
294	4375	10456
295	4384	10428
296	4393	10398
297	4401	10369
298	4411	10341
299	4419	10312
300	4428	10284
301	4436	10253
302	4444	10224
303	4453	10195
304	4461	10165
305	4470	10139
306	4479	10112
307	4489	10087
308	4498	10060
309	4508	10034
310	4516	10005
311	4524	9977
312	4533	9950
313	4541	9922
314	4549	9893
315	4559	9869
316	4568	9843
317	4577	9816
318	4586	9791
319	4595	9765
320	4604	9740
321	4612	9712
322	4622	9688
323	4631	9663
324	4639	9635
325	4649	9611
326	4657	9586
327	4666	9560
328	4674	9533
329	4683	9508
330	4691	9481
331	4702	9462
332	4711	9436
333	4719	9410
334	4729	9388
335	4738	9364
336	4746	9337
337	4755	9313
338	4764	9289
339	4771	9261
340	4778	9235
341	4786	9209
342	4795	9186
343	4805	9163
344	4813	9137
345	4821	9113
346	4829	9088
347	4838	9065
348	4848	9043
349	4858	9022
350	4866	8997
